Category ,JSON,Key ,English (John edit),Vietnamese,Korean,Thai,French,Japanese,Indonesian,German,Spanish
,nft,TEXT.YOUR_LISTING_FOR_SALE,Your Listing is now listed for sale,Sản phẩm của bạn đã được thêm vào danh sách bán hàng hiện tại.,회원님의 경매신청이 판매 목록에 등록되었어요!,รายการสิ้นค้าของคุณได้รับอนุมัติเพื่อการขาย,Votre annonce est maintenant mise en vente.,あなたのアイテムが売りに出されました。,Pencatatan Anda sekarang terdaftar untuk dijual.,Ihr Listing ist jetzt zum Verkauf gelistet.,Tu listado está ahora en venta.
,nft,TEXT.LISTING_NFT_SUCCESSFULLY,List NFT successful,,NFT 경매등록 성공!,,Listing NFT réussi !,NFT の出品に成功しました！,Pencatatan NFT berhasil!,NFT erfolgreich gelistet!,¡Listado de NFT con éxito!
,common,BUTTON.VIEW_ITEM,View Item,Xem mặt hàng,아이템 보기,ดูไอเทม,Voir l'article,アイテムを表示,Lihat Item,Artikel anzeigen,Ver artículo
,nft,TEXT.APPROVE_WETH,Approve MATIC,WETH được chấp thuận,MATIC 승인,อนุมัติ WETH,Approuver le WETH,WETHを承認する,Setujui WETH,WETH genehmigen,Aprobar WETH
,nft,TEXT.ACCEPT_SIGNATURE_REQUEST_LISTING,Accept the signature request in your wallet and wait for your listing to process,Chấp nhận yêu cầu chữ ký trong ví của bạn và đợi danh sách của bạn được xử lý.,월렛에서 서명 요청을 수락하고 목록이 처리될 때까지 기다리세요!,อนุมัติลายเซ็นดิจิทัลในกระเป๋าตังดิจิทัลและรอขั้นตอนการลงขาย,Acceptez la demande de signature dans votre portefeuille et attendez que votre annonce soit traitée.,ウォレットで署名リクエストを受け入れ、出品が処理されるまでお待ちください。,Terima permintaan tanda tangan di dompet Anda dan tunggu pencatatan Anda diproses.,"Akzeptieren Sie die Signaturanforderung in Ihrer Wallet und warten Sie, bis Ihr Listing bearbeitet wird.",Acepta la solicitud de firma en tu cartera y espera a que se procese tu listado.
,common,BUTTON.RECHARGE,Recharge,Bổ sung,재충전,เติมเงิน,Recharger,再チャージ,Isi ulang,Aufladen,Recargar
,nft,TEXT.SALE_METHOD,SALES METHOD,PHƯƠNG THỨC BÁN HÀNG,판매 방법,วิธีการขาย,MÉTHODE DE VENTE,販売方法,METODE PENJUALAN,VERKAUFSMETHODE,MÉTODO DE VENTA
,nft,SALE_METHOD_OPTIONS.FIXED_PRICE,Fixed Price,Giá cố định,고정 가격,ราคาคงที,Prix fixe,固定価格,Harga Tetap,Festpreis,Precio fijo
,nft,SALE_METHOD_OPTIONS.HIGHEST_BID,Highest Bid,Giá thầu cao nhất,최고 입찰가,ราคาประมูลที่สูงที่สุด,Enchère la plus élevée,最高入札額,Tawaran Tertinggi,Höchstgebot,Mayor oferta
,nft,TEXT.NFT_PRICE,NFT Price,Giá NFT,NFT 가격,ราคา NFT,Prix NFT,NFT価格,Harga NFT,NFT-Preis,Precio del NFT
,nft,TEXT.METHOD,METHOD,PHƯƠNG PHÁP,방법,วิธีการ,MÉTHODE,方法,METODE,METHODE,MÉTODO
,nft,METHOD_OPTIONS.THE_HIGHEST_PRICE,Highest Price,Giá cao nhất,최고가,ราคาที่สูงที่สุด,Prix le plus élevé,最高価格,Harga Tertinggi,Höchster Preis,Precio más alto
,nft,TEXT.STARTING_PRICE,STARTING PRICE,GIÁ KHỞI ĐIỂM,시작가,ราคาเริ่มต้น,PRIX DE DÉPART,開始価格,HARGA AWAL,STARTPREIS,PRECIO INICIAL
,nft,TEXT.EXPIRATION_PERIOD,EXPIRATION PERIOD,THỜI HẠN SỬ DỤNG,만료 기간,ระยะเวลาหมดอายุ,PÉRIODE D'EXPIRATION,有効期限,PERIODE KEDALUWARSA,VERFALLSPERIODE,PERÍODO DE EXPIRACIÓN
,nft,TEXT.CREATOR_ROYALTIES,Artist Royalties,Bản quyền của nhà sáng tạo,아티스트 로열티,ค่าลิขสิทธิ์ของผู้สร้าง,Redevances au créateur,クリエイターロイヤリティ,Royalti pencipta,Schöpfer-Royalties,Regalías del creador
,nft,TEXT.SERVICE_FEE,Service Fee,Phí dịch vụ,서비스 수수료,ค่าบริการ,Frais de service,サービス料,Biaya layanan,Servicegebühr,Tarifa de servicio
,nft,TEXT.STAN_FEE,Stan Fee,Phí Stan,Stan 수수료,ค่าธรรมเนียม Stan,Frais [stan],[stan] 手数料,Biaya [stan],[stan] Gebühr,Tarifa de [stan]
,common,BUTTON.POST_LISTING,POST LISTING,ĐĂNG DANH SÁCH,판매 시작,โพสต์รายการสินค้าของคุณ,POSTER LISTING,出品を投稿,POSTING PENCATATAN,LISTING POSTEN,PUBLICAR LISTADO
,common,MSG.INVALID_DECIMAL_NUMBER,Cannot list NFT with decimal number,Danh sách NFT ở dạng thập phân không được hỗ trợ.,십진수로  NFT 리스팅을 할 수 없습니다.,NFT ที่ลงขายต้องไม่มีเลขทศนิยม,Impossible de lister les NFT avec un nombre décimal.,NFTを10進数で出品することはできません。,Tidak dapat mencantumkan NFT dengan angka desimal.,Kann kein NFT mit Dezimalzahl listen.,No se puede listar un NFT con un número decimal.
,common,MSG.CANNOT_MAKE_LISTING_NFT,Cannot list NFT with price < 0,Bạn không thể niêm yết NFT với giá <= 0.,가격이 0보다 작은  NFT를 리스팅 할 수 없습니다.,ไม่สามารถลงขาย NFT ที่มูลค่าน้อยกว่า 0,Impossible de lister les NFT avec un prix <= 0.,価格<= 0 の NFT は出品できません。,Tidak dapat mencantumkan NFT dengan harga <= 0.,Kann kein NFT mit Preis <= 0 listen.,No se puede listar un NFT con un precio <= 0.
,nft,TEXT.STC,STC,STC,STC,STC,STC,STC,STC,STC,STC
,nft,TEXT.STF,STF,STF,STF,STF,STF,STF,STF,STF,STF
,nft,TEXT.WILL_BE_TRANSFERRED,will be transferred to,sẽ được chuyển đến,로 전송,จะทำการโอนไปยัง,sera transféré à,は、以下に転送されます,akan ditransfer ke,wird übertragen an,será transferido a
,common,MSG.RECEIVER_MUST_NOT_BE_BLANK,Receiver must not be blank,Người nhận không được để trống!,수신자가 비어 있지 않아야 합니다!,ต้องกรอกชื่อผู้รับ,L'adresse du destinataire ne doit pas être laissée vide !,受信者は空白のままにしないでください！,Penerima tidak boleh dikosongkan!,Empfänger darf nicht leer gelassen werden!,¡El receptor no debe dejarse en blanco!
,common,MSG.RECEIVER_WALLET_ADDRESS_NOT_FOUND,Receiver wallet address not found,Không tìm thấy địa chỉ ví của người nhận,수신자 월렛 주소를 찾을 수 없습니다!,ไม่พบกระเป๋าเงินดิจิทัลของผู้รับ,L'adresse du portefeuille du destinataire n'a pas été trouvée,受取人のウォレットアドレスが見つかりません,Alamat dompet penerima tidak ditemukan,Empfänger-Wallet-Adresse nicht gefunden,No se encontró la dirección de la cartera del receptor
,nft,TEXT.RECEIVER,RECEIVER,NGƯỜI NHẬN,수신자,ผู้รับ,DESTINATAIRE,受取人,PENERIMA,EMPFÄNGER,RECEPTOR
,nft,TEXT.WALLET_ADDRESS,Wallet Address,Địa chỉ ví,Wallet Address,ที่อยู่กระเป๋าเงินดิจิทัล,Adresse du portefeuille,ウォレットアドレス,Alamat dompet,Wallet-Adresse,Dirección de la cartera
,nft,TEXT.STAN_FEE,STAN FEE,PHÍ STAN,STAN 수수료,ค่าธรรมเนียม Stan,FRAIS STAN,STAN手数料,BIAYA STAN,STAN-GEBÜHR,TARIFA DE STAN
,nft,TEXT.SUCCESSFULLY_BOUGHT,was successfully purchased,đã được mua thành công.,성공적으로 구매완료!,ทำการซื้อสำเร็จ,a été achetée avec succès.,を購入することに成功しました。,berhasil dibeli.,wurde erfolgreich gekauft.,se compró con éxito.
,nft,TEXT.CURRENT_HIGHEST_BID,CURRENT HIGHEST BID,GIÁ THẦU CAO NHẤT HIỆN TẠI,현재 최고 입찰가,ยอดประมูลสูงสุดตอนนี้,ENCHÈRE LA PLUS ÉLEVÉE ACTUELLE,現在の最高入札額,TAWARAN TERTINGGI SAAT INI,AKTUELLES HÖCHSTGEBOT,MAYOR OFERTA ACTUAL
,common,MSG.PLACE_BID_NFT_SUCCESSFULLY,NFT bid successful,Đặt giá thầu NFT thành công,NFT 입찰 성공!,ประมูล NFT สำเร็จ,L'offre NFT a été acceptée,NFT の入札が成功しました,Penawaran NFT berhasil,NFT-Gebot erfolgreich,Puja de NFT exitosa
,common,MSG.OFER_LARGER_THAN_CURRENT_BID,Offer must be higher than the current bid,Giá thầu của bạn phải lớn hơn giá thầu hiện tại.,입찰가 제안은 현재 입찰가보다 커야해요!,ข้อเสนอต้องมากกว่ายอดประมูลปัจจุบัน,L'offre doit être supérieure à l'offre actuelle,オファーは現在の入札額よりも高くなければなりません,Penawaran harus lebih tinggi dari penawaran saat ini,Angebot muss höher sein als das aktuelle Gebot,La oferta debe ser mayor que la oferta actual
,common,MSG.INVALID_AMOUNT,Invalid Amount,Số tiền không hợp lệ,유효하지 않은 금액,จำนวนไม่ถูกต้อง,Montant non valide,金額が無効です,Jumlah tidak valid,Ungültiger Betrag,Cantidad inválida
,common,BUTTON.ADD_RECEIVER,Add Receiver,Thêm người nhận,수신인 추가,เพิ่มผู้รับ,Ajouter un destinataire,受信者を追加,Tambah penerima,Empfänger hinzufügen,Añadir receptor
Other Components,components,ALT_IMAGE,Not Found,Không tìm thấy,찾을 수 없음,ไม่พบ,Non trouvé,見つかりません,Tidak ditemukan,Nicht gefunden,No encontrado
,components,ALT_IMAGE_EXAMPLE,example,ví dụ,예,ตัวอย่าง,exemple,例,contoh,Beispiel,ejemplo
,components,TEXT.BY,by:,bởi:,by:,โดย: ,par :,実行者：,menurut:,von:,por:
,components,COUNT_DOWN.DAYS,DAYS,NGÀY,일,วัน,JOURS,日,HARI,TAGE,DÍAS
,components,COUNT_DOWN.HOURS,HOURS,GIỜ,시간,ชั่วโมง,HEURES,時間,JAM,STUNDEN,HORAS
,components,COUNT_DOWN.MINUTES,MINUTES,PHÚT,분,นาที,MINUTES,分,MENIT,MINUTEN,MINUTOS
,components,COUNT_DOWN.SECONDS,SECONDS,GIÂY,초,วินาที,SECONDES,秒,DETIK,SEKUNDEN,SEGUNDOS
,components,LOADING.TRANSACTION_IS_INPROGRESS,Transaction is in progress,Giao dịch đang được tiến hành!,거래가 진행 중입니다!,กำลังดำเนินการธุรกรรม,La transaction est en cours !,取引が進行中です！,Transaksi sedang berlangsung!,Transaktion läuft!,¡La transacción está en progreso!
,components,LOADING.TRANSACTION_IS_INPROGRESS_PLEASE_WAIT,Transaction is in progress. Please wait.,Giao dịch đang được tiến hành. Vui lòng chờ trong ít phút!,거래가 진행 중입니다. 기다리세요!,กำลังดำเนินการธุรกรรม โปรดรอสักครู่,La transaction est en cours. Veuillez patienter !,取引は進行中です。しばらくお待ちください！,Transaksi sedang berlangsung. Mohon tunggu!,Transaktion läuft. Bitte warten!,"La transacción está en progreso. ¡Por favor, espera!"
,components,LOADING.VIEW_DETAIL_TRANSACTION,View transaction detail,Xem chi tiết giao dịch,거래 내역 보기,ดูรายละเอียดธุรกรรม,Voir le détail de la transaction,取引の詳細を表示,Lihat detail transaksi,Transaktionsdetails anzeigen,Ver detalles de la transacción
,components,LOADING.COMPLETED_TRANSACTION,Transaction complete,Giao dịch hoàn tất!,거래완료!,ทำธุรกรรมสำเร็จ,Transaction terminée !,取引が完了しました！,Transaksi selesai!,Transaktion abgeschlossen!,¡Transacción completada!
,common,BUTTON.CLOSE,Close,Đóng,닫기,ปิด,Fermer,閉じる,Tutup,Schließen,Cerrar
,components,LOADING.TRANSACTION_IS_FAILD,Transaction failed. Please try again.,Giao dịch không thành công! Vui lòng thử lại!,거래 실패! 다시 시도해 주세요!,ทำธุรกรรมไม่สำเร็จ โปรดลองอีกครั้ง,La transaction a échoué ! Veuillez réessayer.,処理に失敗しました！もう一度試してください。,Transaksi gagal! Silakan coba lagi.,Transaktion fehlgeschlagen! Bitte versuchen Sie es erneut.,"¡Transacción fallida! Por favor, inténtalo de nuevo."
,components,LOADING.TRANSACTION_INFO,Transaction info,Thông tin giao dịch,거래 정보,ข้อมูลธุรกรรม,Informations sur la transaction,取引情報,Info transaksi,Transaktionsinfo,Información de la transacción
,components,TEXT.PRESS_ENTER,Press 'Enter' to search all items,Nhấn 'Enter' để tìm toàn bộ,모든 항목을 검색하려면 'Enter' 키를 누르세요.,กด 'Enter' เพื่อค้นหาไอเทมทั้งหมด,Appuyez sur 'Enter' pour rechercher tous les articles,「Enter」を押してすべてのアイテムを検索してください,Tekan 'Enter' untuk mencari semua item,"Drücken Sie 'Enter', um alle Artikel zu suchen",Presiona 'Enter' para buscar todos los artículos
,components,TEXT.COLLECTIONS,COLLECTIONS,BỘ SƯU TẬP,컬렉션,คอลเลตชั่น,COLLECTIONS,コレクション,KOLEKSI,SAMMLUNGEN,COLECCIONES
,components,TEXT.ITEMS,ITEMS,CÁC MẶT HÀNG,아이템,ไอเทม,ARTICLES,アイテム,ITEM,ARTIKEL,ARTÍCULOS
,components,TEXT.USERS,USERS,NGƯỜI DÙNG,사용자,ผู้ใช้,UTILISATEURS,ユーザー,PENGGUNA,BENUTZER,USUARIOS
,common,BUTTON.SELECT_ITEM,SELECT ITEM,CHỌN SẢN PHẨM,항목 선택,เลือกไอเทม,SÉLECTIONNER UN ARTICLE,アイテムを選択,PILIH ITEM,ARTIKEL AUSWÄHLEN,SELECCIONAR ART
Login Page,login,WELCOME_TO_STAN,Welcome to stan market,Chào mừng đến với thị trường STAN,STAN 마켓에 오신 것을 환영합니다,ยินดีต้อนรับเข้าสู้  Stan มาร์เก็ต,Bienvenue sur le marché [stan],[stan]マーケットへようこそ,Selamat datang di pasar [stan],Willkommen auf dem [stan] Markt,Bienvenido al mercado [stan]
,login,PLEASE_SIGN_IN,Please sign into your account and start the adventure,Vui lòng đăng nhập tài khoản của bạn và bắt đầu cuộc phiêu lưu,계정에 로그인하고 모험을 시작하세요,โปรดลงชื่อเข้าใช้และเริ่มค้นพบประสบการณ์ใหม่,Connectez-vous à votre compte et commencez l'aventure,アカウントにサインインして冒険を始めましょう,Silakan masuk ke akun Anda dan mulai petualangan,Bitte melden Sie sich an und starten Sie das Abenteuer,"Por favor, inicia sesión en tu cuenta y comienza la aventura"
,common,BUTTON.LOGIN_WITH_GOOGLE,Login with Google,Đăng nhập với Google,구글로 로그인,ลงชื่อเข้าใช้ผ่าน Google,Se connecter avec Google,Googleでログイン,Masuk dengan Google,Mit Google anmelden,Iniciar sesión con Google
,common,BUTTON.LOGIN,Login,Đăng nhập,로그인,ลงชื่อเข้าใช้,Se connecter,ログイン,Masuk,Anmelden,Iniciar sesión
,login,TITLE.LOGIN_STAN,Login stan,Đăng nhập STAN,STAN으로 로그인,ลงชื่อเข้าใช้ Stan,Connexion STAN,STAN にログイン,Masuk STAN,STAN anmelden,Iniciar sesión STAN
,login,SESSION_EXPIRED,Your login session has expired. Please login again.,Phiên đăng nhập của bạn đã hết hạn. Vui lòng đăng nhập lại!,로그인 세션이 만료되었습니다. 다시 로그인해주세요!,Session ของคุณหมดเวลาแล้ว โปรดลงชื่อเข้าใช้ใหม่อีกครั้ง,Votre session de connexion a expiré. Veuillez vous connecter à nouveau !,ログインセッションの有効期限が切れました。もう一度ログインしてください！,Sesi masuk Anda telah kedaluwarsa. Silakan masuk lagi!,Ihre Anmeldesitzung ist abgelaufen. Bitte melden Sie sich erneut an!,"Tu sesión de inicio de sesión ha expirado. ¡Por favor, vuelve a iniciar sesión!"
Withdraw,common,MSG.AMOUNT_STAN_FUNDS_REQUIRED,Stan funds are required,Lượng STAN Coin yêu cầu!,STAN 자금이 필요합니다!,ต้องใช้ทุน Stan เท่านั้น!,Les fonds [stan] sont requis !,[stan]資金が必要です！,Dana [stan] diperlukan!,[stan]-Mittel sind erforderlich!,¡Se requieren fondos [stan]!
,common,MSG.AMOUNT_STAN_FUND,Stan funds must be greater than 0,"
Số lượng STAN Coin phải lớn hơn 0.",STAN 자금의 금액은 0보다 커야 해요!,ทุน Stan ต้องไม่ต่ำกว่า 0,Les fonds [stan] doivent être supérieurs à 0,[stan] 資金は 0 より大きくなければなりません,Dana [stan] harus lebih besar dari 0,[stan]-Mittel müssen größer als 0 sein,Los fondos de [stan] deben ser mayores que 0
,common,MSG. CANT_WITHDRAW,Cannot withdraw amount greater than your available stan funds,"
Bạn không thể rút nhiều hơn số STAN Coin mà bạn có.",보유한 STAN 자금보다 많은 금액으로 인출할 수 없어요!,คุณไม่สามารถถอนจำนวนเงินที่สูงกว่าทุน Stan ของคุณ,Impossible de retirer un montant supérieur à vos fonds STAN disponibles.,利用可能なSTAN資金を超える金額を出金することはできません。,Tidak dapat menarik jumlah yang lebih besar dari dana STAN yang tersedia.,"Kann keinen Betrag abheben, der größer ist als Ihre verfügbaren STAN-Mittel.",No se puede retirar una cantidad mayor que tus fondos STAN disponibles.
,common,MSG.WITHDRAW_REQUEST_SUBMITTED,Withdraw request submited,Đã hoàn tất gửi yêu cầu rút tiền,출금 요청 제출완료,คำร้องขอถอนเงินถูกส่งสำเร็จ,Demande de retrait soumise,出金リクエストが送信されました,Permintaan penarikan diajukan,Abhebungsanfrage eingereicht,Solicitud de retiro enviada
,common,MSG.NOT_FOUND_ARTIST,Artist Not Found,Không tìm thấy bất kỳ nghệ sĩ nào,아티스트 찾을 수 없음,ไม่พบศิลปิน,Artiste introuvable,アーティストが見つかりません,Artis tidak ditemukan,Künstler nicht gefunden,Artista no encontrado
,common,TABPANE.ARTIST,ARTIST,NGHỆ SĨ,아티스트,ศิลปิน,ARTISTE,アーティスト,ARTIS,KÜNSTLER,ARTISTA
,common,TEXT.MAX,Max,Lớn nhất,최대,สูงสุด,Max,最大,Maks,Max,Max
,common,TEXT.MIN,Min,Nhỏ nhất,최소,ขั้นต่ำ,Min,最小,Min,Min,Min
,nftDetail,TITLE.OWNED_BY,Owned by,Sở hữu bởi,소유자,เจ้าของคือ,Détenu par,オーナー：,Dimiliki oleh,Besitzt von,Poseído por
,nftDetail,TITLE.COLLECTION,Collection,Bộ sưu tập,컬렉션,คอลเลคชั่น,Collection,コレクション,Koleksi,Sammlung,Colección
Search Page,homePage,RESULT.COLLECTIONS,Collections ({{result}} results),Bộ sưu tập ({{result}} kết quả),컬렉션({{result}} 결과),,Collections ({{result}} résultats),コレクション ({{result}} 結果),Koleksi ({{result}},Sammlungen ({{Ergebnis}} Ergebnisse),Colecciones ({{result}} resultados)
,,RESULT.USERS,Users ({{result}} results),Người dùng ({{result}} kết quả),사용자({{result}} 결과),,Utilisateurs ({{result}} résultats),ユーザー ({{result}} 結果),Pengguna ({{result}} hasil),Benutzer ({{Ergebnis}} Ergebnisse),Usuarios ({{result}} resultados)
,,RESULT.ITEMS,Items ({{result}} results),Mặt hàng ({{result}} kết quả),아이템({{result}} 결과),,Articles ({{result}} résultats),アイテム ({{result}} 結果),Item ({{result}} hasil),Artikel ({{Ergebnis}} Ergebnisse),Artículos ({{result}} resultados)
